"Date","Price","Open","High","Low","Vol.","Change %"
"29-07-2025","954.55","925.00","972.00","918.05","1.87M","3.49%"
"28-07-2025","922.35","910.45","945.50","908.90","612.84K","1.56%"
"25-07-2025","908.15","920.00","931.00","897.10","295.32K","-1.31%"
"24-07-2025","920.25","916.00","939.35","910.35","402.29K","0.15%"
"23-07-2025","918.90","882.40","923.00","879.80","565.00K","4.68%"
"22-07-2025","877.80","891.90","898.20","874.10","233.14K","-1.26%"
"21-07-2025","889.00","884.35","899.00","879.00","296.86K","0.82%"
"18-07-2025","881.80","894.10","900.00","864.00","418.46K","-1.57%"
"17-07-2025","895.85","918.00","929.60","883.05","405.80K","-2.40%"
"16-07-2025","917.85","908.00","956.00","907.00","794.10K","1.29%"
"15-07-2025","906.20","911.80","929.60","899.45","423.38K","-0.42%"
"14-07-2025","910.00","890.00","924.70","868.85","787.71K","2.50%"
"11-07-2025","887.80","872.40","894.00","872.35","428.15K","2.02%"
"10-07-2025","870.25","875.30","894.30","867.00","387.73K","-0.28%"
"09-07-2025","872.70","866.00","884.40","864.35","321.59K","0.82%"
"08-07-2025","865.60","872.90","882.15","861.05","421.57K","-0.75%"
"07-07-2025","872.15","887.80","889.00","867.10","316.49K","-1.48%"
"04-07-2025","885.25","885.50","895.65","870.55","352.30K","0.17%"
"03-07-2025","883.75","870.70","900.00","870.50","525.63K","1.68%"
"02-07-2025","869.15","867.00","888.10","863.25","314.67K","0.41%"
"01-07-2025","865.60","899.65","902.60","862.05","468.66K","-3.78%"
"30-06-2025","899.65","897.00","914.00","882.85","452.04K","0.10%"
"27-06-2025","898.75","890.00","908.00","887.60","668.38K","1.28%"
"26-06-2025","887.35","889.00","907.45","881.60","952.53K","-0.20%"
"25-06-2025","889.15","836.00","895.40","835.95","1.65M","6.79%"
"24-06-2025","832.65","832.00","849.50","813.15","425.84K","0.33%"
"23-06-2025","829.90","808.90","851.20","808.90","514.22K","0.37%"
"20-06-2025","826.80","845.55","850.00","820.10","390.33K","-2.18%"
"19-06-2025","845.25","854.00","873.70","833.50","282.49K","-1.00%"
"18-06-2025","853.80","855.75","865.00","847.50","228.63K","-1.38%"
"17-06-2025","865.75","891.80","901.90","849.80","503.27K","-2.93%"
"16-06-2025","891.90","882.45","901.05","858.10","545.75K","1.07%"
"13-06-2025","882.45","845.00","889.80","840.00","737.67K","3.32%"
"12-06-2025","854.10","870.15","874.20","845.60","869.12K","-1.58%"
"11-06-2025","867.80","826.00","874.05","826.00","1.32M","5.86%"
"10-06-2025","819.75","798.60","824.00","794.30","696.23K","3.22%"
"09-06-2025","794.20","787.20","801.00","782.15","382.00K","1.52%"
"06-06-2025","782.30","789.90","793.70","775.15","430.45K","-0.95%"
"05-06-2025","789.80","790.95","812.50","783.25","435.34K","-0.12%"
"04-06-2025","790.75","792.70","796.05","780.15","315.96K","0.12%"
"03-06-2025","789.80","793.00","809.95","783.40","419.44K","-0.34%"
"02-06-2025","792.50","816.00","828.30","783.00","1.40M","-2.29%"
"30-05-2025","811.10","786.00","816.00","771.10","1.59M","3.81%"
"29-05-2025","781.30","716.00","794.80","713.15","3.49M","9.26%"
"28-05-2025","715.10","715.50","721.65","708.20","367.53K","0.28%"
"27-05-2025","713.10","709.00","724.00","688.75","770.55K","1.08%"
"26-05-2025","705.50","734.70","748.95","699.15","815.18K","-3.57%"
"23-05-2025","731.65","733.00","751.95","718.35","1.56M","0.18%"
"22-05-2025","730.35","690.10","750.00","680.00","2.90M","5.00%"
"21-05-2025","695.55","694.35","703.75","680.40","399.54K","1.05%"
"20-05-2025","688.35","690.00","715.80","680.05","1.07M","0.50%"
"19-05-2025","684.90","665.00","703.00","660.05","949.45K","3.55%"
"16-05-2025","661.45","669.00","675.00","656.50","366.36K","-0.64%"
"15-05-2025","665.70","663.50","669.60","654.40","268.59K","0.54%"
"14-05-2025","662.15","666.00","671.80","655.80","247.00K","-0.59%"
"13-05-2025","666.10","657.00","680.55","654.00","252.57K","2.26%"
