"Date","Price","Open","High","Low","Vol.","Change %"
"29-07-2025","5,001.50","4,994.00","5,052.00","4,957.50","1.29M","0.15%"
"28-07-2025","4,994.00","5,043.00","5,109.50","4,980.50","1.45M","-0.97%"
"25-07-2025","5,043.00","5,154.00","5,171.50","5,033.00","1.14M","-2.15%"
"24-07-2025","5,154.00","5,315.00","5,328.50","5,141.00","1.33M","-3.83%"
"23-07-2025","5,359.00","5,383.00","5,390.50","5,320.00","521.29K","-0.03%"
"22-07-2025","5,360.50","5,409.50","5,454.00","5,351.00","451.77K","-0.29%"
"21-07-2025","5,376.00","5,375.50","5,398.50","5,349.00","404.84K","0.02%"
"18-07-2025","5,375.00","5,425.00","5,443.50","5,356.50","418.32K","-0.78%"
"17-07-2025","5,417.50","5,400.00","5,455.00","5,375.00","490.08K","0.66%"
"16-07-2025","5,382.00","5,415.00","5,470.00","5,375.00","716.19K","-0.15%"
"15-07-2025","5,390.00","5,329.50","5,405.00","5,309.00","577.43K","1.42%"
"14-07-2025","5,314.50","5,368.00","5,393.00","5,287.50","829.41K","-0.92%"
"11-07-2025","5,364.00","5,419.00","5,419.00","5,339.50","942.21K","-1.23%"
"10-07-2025","5,431.00","5,430.00","5,445.00","5,387.00","947.49K","0.43%"
"09-07-2025","5,408.00","5,440.00","5,504.50","5,400.00","969.21K","-0.59%"
"08-07-2025","5,440.00","5,512.50","5,517.50","5,370.00","1.70M","-1.07%"
"07-07-2025","5,499.00","5,500.00","5,522.50","5,440.50","1.45M","0.79%"
"04-07-2025","5,456.00","5,675.00","5,785.00","5,350.00","7.52M","-11.87%"
"03-07-2025","6,191.00","6,234.00","6,258.00","6,142.50","750.79K","-0.51%"
"02-07-2025","6,222.50","6,130.50","6,252.00","6,063.00","1.16M","1.28%"
"01-07-2025","6,144.00","6,226.50","6,226.50","6,130.00","558.02K","-1.18%"
"30-06-2025","6,217.50","6,050.00","6,261.00","5,968.00","2.14M","3.29%"
